"date","hour","activity","workout","keywords","time","i0","i1","i2","i3","i4","i5","distance(km)","climb(m)","intensity","t-intensity","ahr","mhr","controls","spiked","rhr","sleep","weight(kg)","injured","sick","restday","shoes","route","description","private note"
"2018-01-01","10","Trail Run","long","","02:04:08","","","","02:04:08","","","18.3","325.0","3.0","","159","182","","","","7.00","","","","","Saucony Xodus","","Did we run? Yes we did. Did we see waterfalls? Yes we did. Did we eat waffles? Yes we did. ",""
"2018-01-03","9","Strength","warm up/down","","00:17:32","","00:17:32","","","","","","","1.0","","111","134","","","","8.50","","","","1","","","2 minute plank with leg raises
20 lunges each leg
20 reactive leg raises
15 pistol squats
20 Reactive elastic hip extension each leg
15 ball bridge",""
"2018-01-04","11","Strength","warm up/down","","00:17:13","","00:17:13","","","","","","","1.0","","106","133","","","","8.00","","","","","","","2 minute plank with leg raises
20 lunges each leg
20 reactive leg raises
15 pistol squats
20 Reactive elastic hip extension each leg
15 ball bridge",""
"2018-01-04","","Trail Run","","","00:28:09","","","","00:28:09","","","5.2","40.0","3.0","","","","","","","","","","","","VJ Sport Bold","","Took it easy with the foot thing and I think it helps to be in a different shoe. ",""
"2018-01-05","16","Trail Run","","","00:57:45","","","","00:57:45","","","9.8","120.0","3.0","","147","178","","","","7.50","","","","1","VJ Sport Bold","","Really bundled up for this cold run. ",""
"2018-01-06","8","Trail Run","tempo","","01:03:40","","","","","01:03:40","","11.7","185.0","4.0","","158","187","","","","7.50","","","","","VJ Sport Bold","","Shorted SMT at closer to a tempo pace with trav sending DD and I off on temp bursts. ",""
"2018-01-07","16","Trail Run","","Snowshoe","00:35:24","","","","00:35:24","","","3.2","50.0","3.0","","129","154","","","","8.00","","","","","Saucony Xodus","","Practicing with snowshoes but cut it short be foot pain came back which sucked. ",""
"2018-01-08","16","Forest Run","","Snowshoe","01:01:25","","","01:01:25","","","","5.5","130.0","2.0","","130","156","","","","7.00","","","","1","Mizuno Wave Rider","","Tryed again in snowshoes with difference shoes and that worked a lot better. ",""
"2018-01-08","21","Strength","warm up/down","","00:09:59","","00:09:59","","","","","","","1.0","","96","122","","","","","","","","1","","","2 minute plank with leg raises
20 lunges each leg
20 reactive leg raises
20 Reactive elastic hip extension each leg",""
"2018-01-09","18","Trail Run","warm up/down","","00:19:16","","","00:19:16","","","","2.6","45.0","2.0","","133","166","","","","6.50","","","","","VJ Sport Bold","","Warm to intervals",""
"2018-01-09","18","Trail Run","intervals","","00:31:35","","","","","00:31:35","","5.5","30.0","4.0","","152","178","","","","","","","","","VJ Sport Bold","","About 900m intervals with about 1:30 minute rest. Repeated 6 times. ",""
"2018-01-09","18","Trail Run","warm up/down","","00:09:09","","","00:09:09","","","","1.3","","2.0","","123","181","","","","","","","","","VJ Sport Bold","","",""
"2018-01-10","","Trail Run","tempo","","00:36:29","","","","","00:36:29","","8.1","80.0","4.0","","142","182","","","","6.50","","","","","VJ Sport Bold","","Quick temp run before gong to get new shoes to replace the Xodus which were causing me pain. ",""
"2018-01-11","18","Trail Run","","","00:32:50","","","","00:32:50","","","5.3","60.0","3.0","","150","166","","","","6.50","","","","","Saucony Peregrine","","4 times about 1.3 km loop. At the end of every loop did some matching of symbols to terrain. This was also my first run with contacts which worked marvelously. ",""
"2018-01-11","19","Map Study","","","01:15:00","01:15:00","","","","","","","","0.0","","","","","","","","","","","","","","Really good lecture from Meghan about ways to improve mental training. ",""
"2018-01-13","11","Orienteering","race","","02:58:49","","","","02:58:49","","","18.6","285.0","3.0","","141","175","","","","6.50","","","","","Saucony Peregrine","","Had a really good first hour but then be messed up a control and had to slow down to find it which really cooled us down. About half an hour later our hands were both too cold to hold ours maps well.",""
"2018-01-15","16","Trail Run","","","00:58:03","","","","00:58:03","","","9.8","95.0","3.0","","149","171","","","","6.50","","","","1","Saucony Peregrine","","Nice steady run after this weekend. ",""
"2018-01-16","18","Trail Run","warm up/down","","00:17:54","","","00:17:54","","","","2.8","40.0","2.0","","132","161","","","","6.50","","","","","Saucony Peregrine","","Warm up to intervals ",""
"2018-01-16","18","Trail Run","intervals","","00:30:01","","","","","00:30:01","","4.9","85.0","4.0","","138","168","","","","","","","","","Saucony Peregrine","","Two 400 m loops, one one my own and one with DD, then rest well DD goes it alone. Repeated 6 times. ",""
"2018-01-16","18","Trail Run","warm up/down","","00:13:45","","","00:13:45","","","","1.8","20.0","2.0","","138","167","","","","","","","","","Saucony Peregrine","","",""
"2018-01-17","22","Strength","warm up/down","","00:14:45","","00:14:45","","","","","","","1.0","","116","137","","","","6.50","","","","","","","2 minute plank with leg raises
20 lunges each leg
20 reactive leg raises
15 pistol squats
20 Reactive elastic hip extension each leg
15 ball bridge",""
"2018-01-18","19","Orienteering","race","","00:32:19","","","","","00:32:19","","6.2","25.0","4.0","","154","171","","","","6.50","","","","","Saucony Peregrine","","First X league of winter season! Race went well, fast and clean. ",""
"2018-01-19","16","Forest Run","","","01:06:48","","","","01:06:48","","","7.6","80.0","3.0","","149","169","","","","6.50","","","","1","Saucony Peregrine","","Standard forest run with warm up and cool down going to and from the forest. ",""
"2018-01-20","20","Trail Run","long","","01:47:28","","","","01:47:28","","","17.6","235.0","3.0","","162","193","","","","7.50","","","","","Saucony Peregrine","","Through the run did multiple accelerations. First hour was with Trav who peeled off well DD and I keep going. ",""
"2018-01-21","10","Orienteering","race","","00:42:12","","","","","00:42:12","","12.553","45.0","4.0","","168","195","","","","8.00","","","","","Saucony Peregrine","","Good race, kept it clean and pushed hard.",""
"2018-01-22","16","Trail Run","","","01:10:52","","","","01:10:52","","","11.0","100.0","3.0","","140","156","","","","7.50","","","","1","Saucony Peregrine","","Tough run with the warm weather melting the snow on the trails.",""
"2018-01-22","22","Strength","warm up/down","","00:15:06","","00:15:06","","","","","","","1.0","","101","119","","","","","","","","1","","","5 by 25
2.5 minute plank with leg lifts 
25 lunges each leg 
25 Reactive elastic hip extension each leg
25 pistol squats 
25 reactive leg raises",""
"2018-01-23","18","Trail Run","warm up/down","","00:23:11","","","00:23:11","","","","3.3","","2.0","","134","165","","","","6.50","","","","","VJ Sport Bold","","Warm to TNT",""
"2018-01-23","18","Trail Run","hills","","00:30:23","","","","","00:30:23","","5.7","115.0","4.0","","151","172","","","","","","","","","VJ Sport Bold","","4 repeats of three hill loops. Got a cramp on 2 and 3 so had trouble going as fast on those. ",""
"2018-01-23","18","Trail Run","warm up/down","","00:13:19","","","00:13:19","","","","1.8","25.0","2.0","","143","165","","","","","","","","","VJ Sport Bold","","Last TNT with DD. Have fun in Denmark!",""
"2018-01-24","16","Trail Run","warm up/down","","00:16:49","","","","00:16:49","","","2.1","20.0","3.0","","119","136","","","","7.00","","","","","Saucony Peregrine","","",""
"2018-01-24","16","Road Run","hills","","00:30:39","","","","00:30:39","","","5.8","150.0","3.0","","135","156","","","","","","","","","Saucony Peregrine","","2 repeats of 5 time up hill for about 75 seconds. Decided to keep overall workout a bit shorter because of exams tomorrow. ",""
"2018-01-24","16","Trail Run","warm up/down","","00:07:10","","","","00:07:10","","","1.2","15.0","3.0","","138","156","","","","","","","","","Saucony Peregrine","","",""
"2018-01-25","","Trail Run","","","00:31:33","","","","00:31:33","","","4.0","25.0","3.0","","134","175","","","","6.50","","","","","Saucony Peregrine","","10 repeats of about 200m hill sprints with focus on form. After 6 pof there was a core workout. ",""
"2018-01-25","19","Map Study","","","01:00:00","01:00:00","","","","","","","","0.0","","","","","","","","","","","","","","Lecture on maps and mapping symbols. ",""
"2018-01-26","16","Forest Run","","","00:57:21","","","00:57:21","","","","6.5","80.0","2.0","","","","","","","6.50","","","","","Saucony Peregrine","","1.5 out, 3.3 of forest and 15 home.",""
"2018-01-27","12","Trail Run","long","","01:58:35","","","","01:58:35","","","17.6","275.0","3.0","","149","168","","","","","","","","","Saucony Peregrine","","Ran to Trav's house and back. Tough going with the ice in some places. ",""
"2018-01-28","16","Trail Run","tempo","","00:39:48","","","","00:39:48","","","8.4","105.0","3.0","","161","178","","","","","","","","","VJ Sport Bold","","Spikes were a good choice. ",""
"2018-01-28","21","Strength","warm up/down","","00:16:00","","00:16:00","","","","","","","1.0","","","","","","","","","","","","","","2.5 minute plank with leg lifts 
20 lunges each leg 
20 Reactive elastic hip extension each leg
30 squats
15 ball matches
20 reactive leg raises
",""
"2018-01-29","14","Trail Run","","","01:01:58","","","","01:01:58","","","11.0","105.0","3.0","","152","160","","","","","","","","1","VJ Sport Bold","","Kept a steady pace today. Snow shaker. ",""
"2018-01-30","18","Trail Run","warm up/down","","00:32:38","","","00:32:38","","","","4.7","30.0","2.0","","116","148","","","","","","","","","Saucony Peregrine","","Warm up to intervals",""
"2018-01-30","","Trail Run","intervals","","00:32:37","","","","","00:32:37","","5.0","110.0","4.0","","","","","","","","","","","","Saucony Peregrine","","6 repeats of about 1 km interval with big hill at the end. ",""
"2018-01-30","18","Trail Run","warm up/down","","00:16:59","","","00:16:59","","","","2.0","20.0","2.0","","","","","","","","","","","","Saucony Peregrine","","",""
"2018-01-31","21","Strength","warm up/down","","00:12:36","","00:12:36","","","","","","","1.0","","","","","","","","","","","1","","","2 minute plank with leg lifts 
20 lunges each leg 
20 Reactive elastic hip extension each leg
15 pistol squats 
20 reactive leg raises",""
"2018-02-01","5","Trail Run","warm up/down","","00:25:31","","","","00:25:31","","","3.4","60.0","3.0","","","","","","","6.00","","","","","Saucony Peregrine","","Warm up and cool down. ",""
"2018-02-01","17","Stairs","hills","","00:27:31","","","","00:27:31","","","1.7","230.0","3.0","","147","183","","","","","","","","","Saucony Peregrine","","6 repeats of running the stairs and repeating every 5 minutes. ",""
"2018-02-02","16","Forest Run","","","01:07:02","","","","01:07:02","","","7.9","70.0","3.0","","140","159","","","","","","","","1","Saucony Peregrine","","1.5 km out, 4.5 of forest and 1.5 back. ",""
"2018-02-02","21","Strength","","","00:13:54","","00:13:54","","","","","","","1.0","","110","124","","","","","","","","","","","2 minute plank with leg lifts 
20 lunges each leg 
20 Reactive elastic hip extension each leg
15 pistol squats 
20 reactive leg raises",""
"2018-02-03","8","Trail Run","long","","01:48:00","","","","01:48:00","","","15.0","230.0","3.0","","","","","","","","","","","","Saucony Peregrine","","Worked on running pose at SMT. ",""
"2018-02-04","14","Trail Run","","","00:54:31","","","","00:54:31","","","9.7","110.0","3.0","","152","167","","","","","","","","1","Saucony Peregrine","","Nice and easy up and down the escarpment. ",""
"2018-02-04","20","Strength","warm up/down","","00:12:12","","00:12:12","","","","","","","1.0","","","","","","","","","","","1","","","Some back strength exercises on the recommendation of Trav. ",""
"2018-02-05","16","Trail Run","warm up/down","","00:22:30","","","00:22:30","","","","3.1","30.0","2.0","","124","154","","","","","","","","","Saucony Peregrine","","Tried going for a run with my dog but he didn't really catch on to the running part. ",""
"2018-02-06","18","Trail Run","warm up/down","","00:24:41","","","00:24:41","","","","3.8","40.0","2.0","","135","162","","","","","","","","","Saucony Peregrine","","Warm up to intervals. ",""
"2018-02-06","18","Trail Run","intervals","","00:29:31","","","","","00:29:31","","4.7","55.0","4.0","","157","164","","","","","","","","","Saucony Peregrine","","5 repeats of about 900 meter loop in the snow. ",""
"2018-02-06","18","Trail Run","warm up/down","","00:14:10","","","00:14:10","","","","2.0","30.0","2.0","","","","","","","","","","","","Saucony Peregrine","","",""
"2018-02-07","","Strength","warm up/down","","00:11:51","","00:11:51","","","","","","","1.0","","","","","","","","","","","","","","More back strength. ",""
"2018-02-07","","Strength","warm up/down","","00:09:58","","00:09:58","","","","","","","1.0","","99","124","","","","","","","","","","","2 minute plank with leg lifts 
20 lunges each leg 
20 Reactive elastic hip extension each leg
15 pistol squats ",""
"2018-02-08","15","Trail Run","tempo","","00:40:38","","","","","00:40:38","","13.518","","4.0","","160","170","","","","","","","","","Saucony Peregrine","","Tempo up and down the escarpment. ",""
"2018-02-09","16","Forest Run","","","01:08:39","","","","01:08:39","","","7.1","85.0","3.0","","145","167","","","","","","","","","Saucony Peregrine","","Really beautiful today in the snow. ",""
"2018-02-09","21","Strength","warm up/down","","00:15:16","","00:15:16","","","","","","","1.0","","","","","","","","","","","","","","2 minute plank with leg lifts 
20 lunges each leg 
15 ball bridge
25 leg ups each leg",""
"2018-02-10","","Trail Run","long","","01:50:45","","","","01:50:45","","","13.7","265.0","3.0","","151","182","","","","","","","","","Saucony Peregrine","","Slow in the deeper snow. ",""
"2018-02-10","16","Strength","warm up/down","","00:13:25","","00:13:25","","","","","","","1.0","","","","","","","","","","","","","","Back exercises. ",""
"2018-02-11","14","Orienteering","","","00:52:23","","","00:52:23","","","","4.1","70.0","2.0","","","","","","","","","","","","Saucony Peregrine","","Checked out the area for the next X league for planning. ",""
"2018-02-11","22","Strength","warm up/down","","00:15:19","","00:15:19","","","","","","","1.0","","108","136","","","","","","","","","","","2 minute plank with leg lifts 
30 lunges each leg 
20 ball march each leg
25 Reactive elastic hip extension each leg
25 pistol squats",""
"2018-02-12","16","Trail Run","","","01:01:23","","","","01:01:23","","","10.8","130.0","3.0","","155","172","","","","","","","","","","","Easy run. Ice makes the trees look real nice but the ground a mess to run on. ",""
"2018-02-12","","Strength","warm up/down","","00:10:21","","00:10:21","","","","","","","1.0","","107","127","","","","","","","","","","","2.5 minute plank with leg lifts 
25 lunges each leg 
25 Reactive elastic hip extension each leg
20 leg ups",""
"2018-02-12","","Map Study","","","00:30:00","00:30:00","","","","","","","","0.0","","","","","","","","","","","","","","Designing this week's X league course. ",""
"2018-02-13","18","Trail Run","warm up/down","","00:21:48","","","00:21:48","","","","3.3","35.0","2.0","","128","158","","","","","","","","","VJ Sport Bold","","Warm up to intervals. ",""
"2018-02-13","18","Trail Run","intervals","","00:23:00","","","","00:23:00","","","3.8","15.0","3.0","","144","173","","","","","","","","","VJ Sport Bold","","Only did 4 loops (~900m) in anticipation for sprint camp. ",""
"2018-02-13","18","Trail Run","warm up/down","","00:09:02","","","00:09:02","","","","1.2","","2.0","","141","174","","","","","","","","","VJ Sport Bold","","",""
"2018-02-13","23","Strength","warm up/down","","00:15:18","","00:15:18","","","","","","","1.0","","","","","","","","","","","","","","Back strength exercises. ",""
"2018-02-15","18","Orienteering","","","00:50:00","","00:50:00","","","","","5.0","50.0","1.0","","","","","","","","","","","","Saucony Peregrine","","Putting out and collecting controls fro X league. ",""
